** Train timings in this log file are not correct. **

Experiment to train VESICLE-CNN-2 to predict synapses, using straight upadted vesicle architecture.
Experiment conducted at:12/10/2017 10:31:19.

Experimental setup:
Training settings:
	Learning scheme: ADAM
	Training steps:  300001
	Optimize weighted cross entropy
	Select best network from F1

	Training ratio: 0.100000
	Training weight: 0.100000
	FC units: 1024.000000
step 0, validation accuracy 0.00742948, cross entropy 8.50346, f1(ave) 0.0147251
step 1000, validation accuracy 0.99258, cross entropy 0.402148, f1(ave) nan
step 2000, validation accuracy 0.99258, cross entropy 0.443405, f1(ave) nan
step 3000, validation accuracy 0.99258, cross entropy 0.421888, f1(ave) nan
step 4000, validation accuracy 0.980537, cross entropy 0.451825, f1(ave) 0.282625
step 5000, validation accuracy 0.97831, cross entropy 0.455759, f1(ave) 0.301495
step 6000, validation accuracy 0.982506, cross entropy 0.434611, f1(ave) 0.353796
step 7000, validation accuracy 0.98627, cross entropy 0.418062, f1(ave) 0.390906
step 8000, validation accuracy 0.983208, cross entropy 0.434113, f1(ave) 0.372304
step 9000, validation accuracy 0.981948, cross entropy 0.439697, f1(ave) 0.362833
step 10000, validation accuracy 0.984242, cross entropy 0.425091, f1(ave) 0.384488
step 11000, validation accuracy 0.985078, cross entropy 0.423291, f1(ave) 0.402624
step 12000, validation accuracy 0.978233, cross entropy 0.454788, f1(ave) 0.339587
step 13000, validation accuracy 0.974458, cross entropy 0.47105, f1(ave) 0.31726
step 14000, validation accuracy 0.98103, cross entropy 0.442268, f1(ave) 0.372646
step 15000, validation accuracy 0.980942, cross entropy 0.441148, f1(ave) 0.374796
step 16000, validation accuracy 0.986167, cross entropy 0.415071, f1(ave) 0.428333
step 17000, validation accuracy 0.98103, cross entropy 0.440116, f1(ave) 0.379712
step 18000, validation accuracy 0.984983, cross entropy 0.420462, f1(ave) 0.419263
step 19000, validation accuracy 0.989497, cross entropy 0.400158, f1(ave) 0.481116
step 20000, validation accuracy 0.985103, cross entropy 0.418693, f1(ave) 0.42171
step 21000, validation accuracy 0.980979, cross entropy 0.441803, f1(ave) 0.381365
step 22000, validation accuracy 0.982089, cross entropy 0.435685, f1(ave) 0.395921
step 23000, validation accuracy 0.984486, cross entropy 0.42505, f1(ave) 0.425349
step 24000, validation accuracy 0.987924, cross entropy 0.409011, f1(ave) 0.479022
step 25000, validation accuracy 0.990776, cross entropy 0.392535, f1(ave) 0.51581
step 26000, validation accuracy 0.990062, cross entropy 0.397909, f1(ave) 0.515111
step 27000, validation accuracy 0.987777, cross entropy 0.409128, f1(ave) 0.476598
step 28000, validation accuracy 0.989599, cross entropy 0.398107, f1(ave) 0.504048
step 29000, validation accuracy 0.979225, cross entropy 0.446979, f1(ave) 0.377368
step 30000, validation accuracy 0.988815, cross entropy 0.403311, f1(ave) 0.493293
step 31000, validation accuracy 0.988108, cross entropy 0.406367, f1(ave) 0.483125
step 32000, validation accuracy 0.98243, cross entropy 0.431337, f1(ave) 0.406599
step 33000, validation accuracy 0.985514, cross entropy 0.416267, f1(ave) 0.445161
step 34000, validation accuracy 0.988609, cross entropy 0.402201, f1(ave) 0.495879
step 35000, validation accuracy 0.9847, cross entropy 0.421245, f1(ave) 0.436261
step 36000, validation accuracy 0.985787, cross entropy 0.41588, f1(ave) 0.452787
step 37000, validation accuracy 0.984592, cross entropy 0.42362, f1(ave) 0.437522
step 38000, validation accuracy 0.981271, cross entropy 0.43709, f1(ave) 0.399906
step 39000, validation accuracy 0.981397, cross entropy 0.435247, f1(ave) 0.397559
step 40000, validation accuracy 0.987802, cross entropy 0.406303, f1(ave) 0.484894
step 41000, validation accuracy 0.979912, cross entropy 0.444561, f1(ave) 0.387624
step 42000, validation accuracy 0.982486, cross entropy 0.434745, f1(ave) 0.414127
step 43000, validation accuracy 0.985734, cross entropy 0.416855, f1(ave) 0.457038
step 44000, validation accuracy 0.985867, cross entropy 0.416163, f1(ave) 0.459368
step 45000, validation accuracy 0.98806, cross entropy 0.404091, f1(ave) 0.481698
step 46000, validation accuracy 0.989706, cross entropy 0.397982, f1(ave) 0.515858
step 47000, validation accuracy 0.987977, cross entropy 0.406925, f1(ave) 0.495702
step 48000, validation accuracy 0.98207, cross entropy 0.432407, f1(ave) 0.406322
step 49000, validation accuracy 0.988574, cross entropy 0.40361, f1(ave) 0.498094
step 50000, validation accuracy 0.990297, cross entropy 0.39506, f1(ave) 0.533063
step 51000, validation accuracy 0.985274, cross entropy 0.418941, f1(ave) 0.451374
step 52000, validation accuracy 0.982801, cross entropy 0.431273, f1(ave) 0.421429
step 53000, validation accuracy 0.986128, cross entropy 0.415189, f1(ave) 0.467262
step 54000, validation accuracy 0.985005, cross entropy 0.419911, f1(ave) 0.447779
step 55000, validation accuracy 0.988428, cross entropy 0.405448, f1(ave) 0.504084
step 56000, validation accuracy 0.983841, cross entropy 0.42566, f1(ave) 0.434252
step 57000, validation accuracy 0.987617, cross entropy 0.407467, f1(ave) 0.486355
step 58000, validation accuracy 0.988721, cross entropy 0.402647, f1(ave) 0.501696
